Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
19S Proteasome,RPT2,1,YDL007W
19S Proteasome,RPT5,1,YOR117W
19S Proteasome,RPN10,1,YHR200W
19S Proteasome,RPN1,1,YHR027C
19S Proteasome,RPT1,1,YKL145W
19S Proteasome,RPN2,1,YIL075C
19S Proteasome,RPN3,1,YER021W
19S Proteasome,RPT6,1,YGL048C
19S Proteasome,RPN9,1,YDR427W
19S Proteasome,RPT4,1,YOR259C
19S Proteasome,RPT3,1,YDR394W
19S Proteasome,RPN11,1,YFR004W
19S Proteasome,RPN12,1,YFR052W
19S Proteasome,RPN8,1,YOR261C
succinate_dh_yeast,SDH4,1,YDR178W
succinate_dh_yeast,SDH2,1,YLL041C
succinate_dh_yeast,SDH1,1,YKL148C
mpol-i_yeast,VAN1,1,YML115C
mpol-i_yeast,MNN9,1,YPL050C
lsm2_7_yeast,LSM2,1,YBL026W
lsm2_7_yeast,LSM4,1,YER112W
lsm2_7_yeast,LSM6,1,YDR378C
lsm2_7_yeast,LSM5,1,YER146W
lsm2_7_yeast,LSM7,1,YNL147W
lsm2_7_yeast,LSM3,1,YLR438C-A
hir_yeast-1,HPC2,2,YBR215W
hir_yeast-2,HIR2,2,YOR038C
hir_yeast-3,HIR3,1,YJR140C
hir_yeast-4,HIR1,1,YBL008W
rac_yeast,ZUO1,1,YGR285C
rac_yeast,SSZ1,1,YHR064C
ggtase-2_yeast,BET4,1,YJL031C
ggtase-2_yeast,BET2,1,YPR176C
NDC80,NUF2,1,YOL069W
NDC81,SPC25,1,YER018C
NDC82,NDC80,1,YIL144W
NDC83,SPC24,1,YMR117C
tfiie_yeast,TFA2,2,YKR062W
tfiie_yeast,TFA1,2,YKL028W
cpc_yeast-1,FAS1,6,YKL182W
cpc_yeast-2,FAS2,6,YPL231W
cohesin_yeast,SMC3,1,YJL074C
cohesin_yeast,SMC1,1,YFL008W
mito_f1f0_atp_synthase_yeast,ATP20,1,YPR020W
