Experiment Name,Plate Name,Record Date,$OP,GUID,Well Name,PLATE ID,All Events Parent Name,All Events #Events,All Events %Parent,All Events %Grand Parent,All Events %Total,All Events mCherry-A Mean,All Events mCherry-A Median,All Events mCherry-A SD,All Events CFP-A Mean,All Events CFP-A Median,All Events CFP-A SD,P3 Parent Name,P3 #Events,P3 %Parent,P3 %Grand Parent,P3 %Total,P3 mCherry-A Mean,P3 mCherry-A Median,P3 mCherry-A SD,P3 CFP-A Mean,P3 CFP-A Median,P3 CFP-A SD,P4 Parent Name,P4 #Events,P4 %Parent,P4 %Grand Parent,P4 %Total,P4 mCherry-A Mean,P4 mCherry-A Median,P4 mCherry-A SD,P4 CFP-A Mean,P4 CFP-A Median,P4 CFP-A SD
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:43:22 PM",Administrator ,3dfd5439-fa12-4800-9376-1fa19a9f5633 ,G9,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,10230,7217,13252,5665,3011,8754,All Events,2723,27.2,,27.2,12,12,56,12057,8700,10179,All Events,7054,70.5,,70.5,14316,10880,12372,3104,2074,3440
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:43:30 PM",Administrator ,7a1ffadd-0f3f-441a-bb85-dd286bdc7afb ,G10,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,3717,38,9918,9911,6966,9872,All Events,7291,72.9,,72.9,24,19,45,11899,8533,9602,All Events,2429,24.3,,24.3,15104,11264,14847,4047,2428,4859
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:43:37 PM",Administrator ,e84524c1-e627-4fb0-a96b-b72457b8cc98 ,G11,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,36,21,244,12297,8893,10961,All Events,9733,97.3,,97.3,25,20,41,12307,9049,9849,All Events,1,0.0,,0.0,22508,22508,,1097,1097,
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:43:44 PM",Administrator ,2fab0d48-41e8-4df5-aa25-81ea9c08fe1d ,G12,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,57,23,396,11194,8050,9916,All Events,9560,95.6,,95.6,27,21,44,11191,8176,9006,All Events,8,0.1,,0.1,11123,11125,6277,5297,2488,6517
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:30:55 PM",Administrator ,82d9df72-933c-4f33-b9d0-06d06118b51d ,A1,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,17642,10242,25399,5651,2835,8162,All Events,1851,18.5,,18.5,22,22,86,12858,9279,10349,All Events,7626,76.3,,76.3,22491,14680,24476,3816,2308,4589
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:31:03 PM",Administrator ,bcd510cd-017a-4bf3-b196-cad30368dfd0 ,A2,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10203,,,,14365,6444,24969,7031,4395,8631,All Events,4087,40.1,,40.1,35,29,55,11832,8543,9326,All Events,5883,57.7,,57.7,24300,15490,26876,3482,2144,4052
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:31:12 PM",Administrator ,c25b98f7-84f8-473b-b173-429ab320041b ,A3,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,14096,6778,24493,7848,4237,10401,All Events,3563,35.6,,35.6,44,34,61,14720,10520,11676,All Events,6161,61.6,,61.6,22030,14092,25269,3622,2191,4420
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:31:21 PM",Administrator ,98ec7155-812f-4d75-81ac-b06ec0394708 ,A4,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,32421,20591,37554,4613,2497,6851,All Events,888,8.9,,8.9,45,36,73,13096,9564,10607,All Events,8710,87.1,,87.1,35933,23885,35447,3385,2136,3715
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:31:29 PM",Administrator ,c3927496-b059-4534-9b39-0d72ce23d10a ,A5,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,16335,2026,30286,8531,5378,9772,All Events,4573,45.7,,45.7,47,36,65,12834,9214,10433,All Events,4967,49.7,,49.7,31634,20330,33731,4208,2737,4620
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:31:38 PM",Administrator ,18f71c1d-c35a-4b39-9065-e12a7b39ef94 ,A6,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,22227,7690,38336,11054,5701,15022,All Events,4033,40.3,,40.3,48,40,63,18950,14622,14122,All Events,5584,55.8,,55.8,37456,23200,39835,4346,2538,5430
